INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,NIFTY     ,31/05/2018,00011750.00,CE      ,00000002.90,00000002.90,00000002.90,00000002.90,000000000000525,              150,              002,              002,        1762935.00,            435.00
OPTIDX    ,NIFTY     ,31/05/2018,00011800.00,CE      ,00000000.80,00000000.80,00000000.55,00000000.70,000000000016800,              825,              011,              004,        9735525.00,            525.00
OPTIDX    ,NIFTY     ,31/05/2018,00011900.00,CE      ,00000000.65,00000000.80,00000000.65,00000000.80,000000000004725,              225,              003,              003,        2677668.75,            168.75
OPTIDX    ,NIFTY     ,31/05/2018,00011900.00,PE      ,00001250.00,00001250.00,00001250.00,00001250.00,000000000000975,              150,              002,              002,        1972500.00,         187500.00
OPTIDX    ,NIFTY     ,31/05/2018,00012000.00,CE      ,00000000.70,00000000.70,00000000.60,00000000.70,000000000767700,           469050,             6254,             4732,     5628908913.75,         308913.75
OPTIDX    ,NIFTY     ,31/05/2018,00012000.00,PE      ,00001309.80,00001342.00,00001305.00,00001324.00,000000001553400,            62850,              838,              496,      837662842.50,       83462842.50
OPTIDX    ,NIFTY     ,31/05/2018,00012100.00,CE      ,00000000.45,00000000.65,00000000.40,00000000.60,000000000044700,             3450,              046,              026,       41746811.25,           1811.25
OPTIDX    ,NIFTY     ,31/05/2018,00012100.00,PE      ,00001402.00,00001430.00,00001402.00,00001428.40,000000000047100,             1800,              024,              014,       24334875.00,        2554875.00
OPTIDX    ,NIFTY     ,31/05/2018,00012200.00,CE      ,00000000.25,00000000.50,00000000.25,00000000.35,000000000008475,             4200,              056,              032,       51241635.00,           1635.00
OPTIDX    ,NIFTY     ,31/05/2018,00012200.00,PE      ,00001510.00,00001541.90,00001499.85,00001522.75,000000000009000,             3450,              046,              044,       47330182.50,        5240182.50
OPTIDX    ,NIFTY     ,28/06/2018,00003500.00,CE      ,00007080.10,00007080.10,00007036.20,00007038.70,000000000077025,             1425,              019,              017,       15061316.25,       10073816.25
OPTIDX    ,NIFTY     ,28/06/2018,00003500.00,PE      ,00000000.30,00000000.30,00000000.30,00000000.30,000000000010425,              225,              003,              003,         787567.50,             67.50
OPTIDX    ,NIFTY     ,28/06/2018,00004000.00,CE      ,00006580.00,00006580.00,00006565.95,00006578.30,000000000158400,             3825,              051,              044,       40429541.25,       25129541.25
OPTIDX    ,NIFTY     ,28/06/2018,00006000.00,CE      ,00004610.00,00004621.00,00004600.00,00004621.00,000000000028200,              375,              005,              005,        3978877.50,        1728877.50
OPTIDX    ,NIFTY     ,28/06/2018,00006000.00,PE      ,00000000.15,00000000.35,00000000.15,00000000.35,000000000000975,              150,              002,              002,         900037.50,             37.50
OPTIDX    ,NIFTY     ,28/06/2018,00007000.00,CE      ,00003635.00,00003640.00,00003599.65,00003599.65,000000000220725,              750,              010,              006,        7972848.75,        2722848.75
OPTIDX    ,NIFTY     ,28/06/2018,00007000.00,PE      ,00000000.55,00000000.65,00000000.55,00000000.65,000000000088075,              150,              002,              002,        1050090.00,             90.00
OPTIDX    ,NIFTY     ,28/06/2018,00008000.00,CE      ,00002633.05,00002633.05,00002625.00,00002625.00,000000000163725,              150,              002,              002,        1594353.75,         394353.75
OPTIDX    ,NIFTY     ,28/06/2018,00008000.00,PE      ,00000001.95,00000002.30,00000001.60,00000001.75,000000000047625,             1125,              015,              015,        9002171.25,           2171.25
OPTIDX    ,NIFTY     ,28/06/2018,00008500.00,CE      ,00002165.00,00002165.00,00002165.00,00002165.00,000000000788025,              075,              001,              001,         799875.00,         162375.00
OPTIDX    ,NIFTY     ,28/06/2018,00008600.00,CE      ,00002065.00,00002065.00,00002065.00,00002065.00,000000001152450,              075,              001,              001,         799875.00,         154875.00
OPTIDX    ,NIFTY     ,28/06/2018,00008700.00,CE      ,00001965.00,00001965.00,00001965.00,00001965.00,000000000861100,              075,              001,              001,         799875.00,         147375.00
OPTIDX    ,NIFTY     ,28/06/2018,00009000.00,CE      ,00001661.00,00001676.30,00001641.00,00001647.85,000000000028875,             3225,              043,              037,       34361407.50,        5336407.50
OPTIDX    ,NIFTY     ,28/06/2018,00009000.00,PE      ,00000006.75,00000007.55,00000006.70,00000007.35,000000000268875,             7350,              098,              046,       66201971.25,          51971.25
OPTIDX    ,NIFTY     ,28/06/2018,00009400.00,PE      ,00000011.00,00000012.15,00000010.80,00000012.00,000000000009000,            10125,              135,              044,       95294370.00,         119370.00
OPTIDX    ,NIFTY     ,28/06/2018,00009500.00,CE      ,00001180.00,00001180.00,00001180.00,00001180.00,000000000140850,              600,              008,              002,        6408000.00,         708000.00
OPTIDX    ,NIFTY     ,28/06/2018,00009500.00,PE      ,00000014.25,00000016.25,00000013.85,00000014.65,000000000342075,            75375,             1005,              356,      717194148.75,        1131648.75
OPTIDX    ,NIFTY     ,28/06/2018,00009600.00,PE      ,00000017.40,00000019.20,00000016.65,00000017.20,000000000076500,            34500,              460,              176,      331825541.25,         625541.25
OPTIDX    ,NIFTY     ,28/06/2018,00009700.00,PE      ,00000022.85,00000024.00,00000021.65,00000023.05,000000001956600,            21525,              287,              161,      209286667.50,         494167.50
OPTIDX    ,NIFTY     ,28/06/2018,00009800.00,PE      ,00000026.85,00000029.60,00000024.55,00000027.75,000000000099300,            44025,              587,              347,      432689820.00,        1244820.00
OPTIDX    ,NIFTY     ,28/06/2018,00009900.00,PE      ,00000032.00,00000036.45,00000032.00,00000034.10,000000000344400,            38700,              516,              299,      384465525.00,        1335525.00
OPTIDX    ,NIFTY     ,28/06/2018,00010000.00,CE      ,00000716.40,00000724.85,00000699.60,00000703.65,000000000054375,             7425,              099,              074,       79527052.50,        5277052.50
OPTIDX    ,NIFTY     ,28/06/2018,00010000.00,PE      ,00000042.60,00000045.90,00000041.40,00000043.10,000000000617400,           128400,             1712,              947,     1289577078.75,        5577078.75
OPTIDX    ,NIFTY     ,28/06/2018,00010100.00,CE      ,00000609.40,00000618.45,00000609.40,00000618.45,000000000017325,              225,              003,              003,        2410293.75,         137793.75
OPTIDX    ,NIFTY     ,28/06/2018,00010100.00,PE      ,00000052.35,00000055.70,00000050.45,00000052.50,000000000312300,            84675,             1129,              559,      859688486.25,        4470986.25
